,Accuracy,F1 Score,Theil Index,False Positive Rate - Unprivileged,False Positive Rate - Privileged,False Negative Rate - Unprivileged,False Negative Rate - Privileged,Accuracy - Unprivileged,Accuracy - Privileged,False Discovery Rate - Unprivileged,False Discovery Rate - Privileged,False Omission Rate - Unprivileged,False Omission Rate - Privileged,Num True Pos,Num True Neg,Num False Pos,Num False Neg,Num True Pos - Privileged,Num True Neg - Privileged,Num False Pos - Privileged,Num False Neg - Privileged,Num True Pos - Unprivileged,Num True Neg - Unprivileged,Num False Pos - Unprivileged,Num False Neg - Unprivileged,F1 Score - Privileged,F1 Score - Unprivileged,Privileged base Rate,Unprivileged base Rate,Consistency
OP - 3,0.7878,0.4844,0.184,0.0628,0.1015,0.7212,0.5744,0.8643,0.7498,0.6437,0.3422,0.0875,0.2267,1461,10082,953,2157,1311,6035,682,1769,150,4047,271,388,0.5169,0.3128,0.2034,0.0867,0.9842
OP - 11,0.7898,0.4764,0.1788,0.068,0.1031,0.7371,0.5743,0.8632,0.7531,0.693,0.3555,0.0831,0.2194,1401,10172,998,2082,1269,6090,700,1712,132,4082,298,370,0.5127,0.2833,0.2015,0.0881,0.9687
OP - 17,0.7934,0.4929,0.1707,0.0703,0.1102,0.7135,0.5456,0.859,0.7603,0.6652,0.3639,0.0866,0.2062,1471,10155,1061,1966,1316,6083,753,1580,155,4072,308,386,0.5301,0.3088,0.2126,0.0941,0.9834
OP + EOP - 3,0.7727,0.3717,0.2177,0.0628,0.0634,0.7212,0.7289,0.8643,0.7274,0.6437,0.3378,0.0875,0.263,985,10338,697,2633,835,6291,426,2245,150,4047,271,388,0.3847,0.3128,0.1287,0.0867,0.9211
OP + EOP - 11,0.7737,0.3698,0.2099,0.076,0.0697,0.7331,0.7186,0.8564,0.7324,0.7131,0.3605,0.0834,0.2532,973,10364,806,2510,839,6317,473,2142,134,4047,333,368,0.3909,0.2766,0.1343,0.0957,0.9175
OP + EOP - 17,0.7772,0.3682,0.2073,0.0719,0.0677,0.7135,0.7251,0.8575,0.7366,0.6702,0.3678,0.0867,0.2478,951,10438,778,2486,796,6373,463,2100,155,4065,315,386,0.3832,0.3066,0.1294,0.0955,0.9196
OP + CEOP - 3,0.7878,0.4844,0.184,0.0628,0.1015,0.7212,0.5744,0.8643,0.7498,0.6437,0.3422,0.0875,0.2267,1461,10082,953,2157,1311,6035,682,1769,150,4047,271,388,0.5169,0.3128,0.2034,0.0867,0.9842
OP + CEOP - 11,0.7898,0.4764,0.1788,0.068,0.1031,0.7371,0.5743,0.8632,0.7531,0.693,0.3555,0.0831,0.2194,1401,10172,998,2082,1269,6090,700,1712,132,4082,298,370,0.5127,0.2833,0.2015,0.0881,0.9687
OP + CEOP - 17,0.7934,0.4929,0.1707,0.0703,0.1102,0.7135,0.5456,0.859,0.7603,0.6652,0.3639,0.0866,0.2062,1471,10155,1061,1966,1316,6083,753,1580,155,4072,308,386,0.5301,0.3088,0.2126,0.0941,0.9834
OP + ROC - 3,0.7071,0.539,0.1314,0.321,0.2675,0.2918,0.3091,0.6822,0.7194,0.7844,0.4578,0.0508,0.1621,2509,7852,3183,1109,2128,4920,1797,952,381,2932,1386,157,0.6076,0.3306,0.4006,0.3639,0.9629
OP + ROC - 11,0.6747,0.5277,0.1143,0.3895,0.3299,0.2151,0.2388,0.6284,0.6979,0.8124,0.4968,0.0388,0.1353,2663,7224,3946,820,2269,4550,2240,712,394,2674,1706,108,0.6059,0.3028,0.4615,0.4302,0.9432
OP + ROC - 17,0.6728,0.526,0.1115,0.3925,0.3362,0.2144,0.2282,0.6271,0.696,0.8018,0.5069,0.0418,0.1271,2660,7199,4017,777,2235,4538,2298,661,425,2661,1719,116,0.6017,0.3166,0.4658,0.4357,0.9575
